trade_date,scope_return_1d,advance_ratio,trend_price_alignment_ratio,new_high_ratio,price_position_median,uptrend_member_ratio,main_structure_up_ratio,short_structure_up_ratio,trend_structure_momentum_alignment_ratio,structure_net_event_rate,structure_breakdown_diffusion,multi_dim_improving_ratio,momentum_enhancing_coverage,fresh_structure_event_coverage,non_head_participation_ratio,leader_follower_common_confirm_ratio,top5_price_change_contribution,top10pct_event_contribution,member_change_hhi,leader_median_diff,top5_amount_contribution,volume_expansion_ratio,amount_expansion_ratio,volume_percentile20_median,amount_percentile200_median,trend_segment_volume_improvement,price_amount_efficiency_median,metric_P_value,metric_P_rawValue,metric_P_status,metric_Q_value,metric_Q_rawValue,metric_Q_status,metric_U_value,metric_U_rawValue,metric_U_status,metric_C_value,metric_C_rawValue,metric_C_status,metric_V_value,metric_V_rawValue,metric_V_status
2026-02-09,,,,0.018529241459177764,0.49402078023916873,0.27523644084153637,0.7670333912372129,0.6178343949044586,0.6216877293110477,0.14868429518111045,0.5745994981663771,0.8066010422698321,,1.0,,,,0.09999356540763142,,,0.035970288598299135,0.06890561667631731,0.08106543138390272,0.3204593707778391,0.5327360340357724,1.483211674916653,,,0.25627501084917326,unavailable,,0.5008459582736239,insufficient_history,,0.9033005211349161,insufficient_history,,0.06798192700296528,insufficient_history,,0.4972756255580969,insufficient_history
2026-02-10,,,,0.014277445494887131,0.49111584932480445,0.27648080262396296,0.7696314875554698,0.624155894269728,0.6250254323499491,0.16110360794906425,0.56280146633224,0.0059810920316419065,0.05694980694980695,1.0,,,,0.09995497523638001,,,0.028726032376659126,0.06559907389542736,0.07447424271657341,0.27024889060389506,0.48152091225974114,1.468351108160613,,,0.25269664740984576,unavailable,,0.5031997818467356,insufficient_history,,0.35431029966048294,insufficient_history,,0.06434050380651957,insufficient_history,,0.47203884552725006,insufficient_history
2026-02-11,,,,0.010997491800115763,0.4848484848484848,0.28072544858190235,0.7707891182712715,0.6243488327223615,0.6244150559511699,0.16406199755611292,0.5593285741848351,0.004244645957939417,0.07353792704111176,1.0,,,,0.09995497523638001,,,0.03937961317219065,0.060196797221686284,0.07003665830600038,0.24525371406521115,0.4474285874179508,1.4575042074960907,,,0.2479229883243003,unavailable,,0.5039448378779422,insufficient_history,,0.35926085766635035,insufficient_history,,0.06966729420428533,insufficient_history,,0.4560839929013879,insufficient_history
2026-02-12,,,,0.014844804318488529,0.47524752475247506,0.28224407171775595,0.771158665895508,0.6151918257181415,0.6214184108920952,0.1573806310648416,0.5629458261037208,0.003470213996529786,0.07693790975703818,1.0,,,,0.09987788418278809,,,0.035307036675492565,0.06246385193753615,0.06921149026412185,0.32559282822440466,0.4956188196402813,1.4468946057218233,,,0.24504616453548178,unavailable,,0.5017232385653438,insufficient_history,,0.3601360412511893,insufficient_history,,0.06759246042914033,insufficient_history,,0.4799563191576334,insufficient_history
2026-02-13,,,,0.006750241080038573,0.4554794520547944,0.2827386692381871,0.7706846673095468,0.5947926711668274,0.6105241771637546,0.129926068788171,0.5737704918032787,0.002700096432015429,0.053616200578592094,1.0,,,,0.09991641483958079,,,0.030869421802631605,0.049373191899710706,0.05978784956605593,0.28095467695274495,0.4587220375273566,1.4298843789568951,,,0.2311148465674165,unavailable,,0.4937394575782943,insufficient_history,,0.35210543233686914,insufficient_history,,0.06539291832110619,insufficient_history,,0.4557444269805527,insufficient_history
2026-02-24,,,,0.020632472040107982,0.48819374128458315,0.282684149633629,0.7722715001928269,0.5950636328576938,0.6116071428571429,0.1429489651626173,0.5661396066332434,0.011183956806787505,0.21643518518518517,1.0,,,,0.0998971457958344,,,0.03222293981117894,0.07365985345160046,0.08387967605090628,0.3996047049749311,0.5282212768411764,1.4207641322771072,,,0.25441310666234557,unavailable,,0.4951191662228589,insufficient_history,,0.4092063806639909,insufficient_history,,0.06606004280350668,insufficient_history,,0.5012259287191443,insufficient_history
2026-02-25,,,,0.01813621454755933,0.5172932330827069,0.28612772525564345,0.7740690719660428,0.6121937102064442,0.6240616757963076,0.164190623191202,0.5454370055952151,0.008296353463245225,0.11749951765386842,1.0,,,,0.09995497523638001,,,0.028897066123882705,0.09666216476943855,0.10978197954852402,0.442427165734131,0.5525968304662779,1.4240556365836037,,,0.2677147238151331,unavailable,,0.5010133020018092,insufficient_history,,0.3752652903723712,insufficient_history,,0.06442602068013135,insufficient_history,,0.525104755420395,insufficient_history
2026-02-26,,,,0.02797607563187343,0.5209981740718197,0.28998649430831563,0.7744549488713101,0.6229982635539263,0.6311309282529388,0.17756768924046562,0.5309666216476944,0.010611614894848543,0.06562439683458791,1.0,,,,0.09995497523638001,,,0.03433405541064275,0.10901022573798957,0.12772525564344975,0.44124059425043305,0.5451603631513746,1.4376430666566142,,,0.27448712485184656,unavailable,,0.5045174909791085,insufficient_history,,0.3587453372431455,insufficient_history,,0.06714451532351139,insufficient_history,,0.5321559010879723,insufficient_history
2026-02-27,,,,0.03183484468454563,0.5401621223286663,0.2930735095504534,0.7765772718502798,0.6349604476172102,0.6379659643435981,0.1963470319634703,0.5139880378159367,0.008103415010611615,0.09976842917792358,1.0,,,,0.09995497523638001,,,0.034259342574662434,0.10650202585375265,0.1252170557592128,0.4177889253328185,0.5267593526258098,1.4362358781747229,,,0.285998483506606,unavailable,,0.5088187105234915,insufficient_history,,0.3692906147295117,insufficient_history,,0.06710715890552123,insufficient_history,,0.5225006475492633,insufficient_history
2026-03-02,,,,0.02527981474334234,0.4857189911537739,0.28618294094944036,0.7734465457352374,0.5741026630644539,0.6144359078042863,0.1448604142544706,0.5480509455808568,0.004438440756464685,0.03029718255499807,1.0,,,,0.09997426659804426,,,0.03396360325580636,0.22211501350829796,0.23272867618680046,0.6813874951756062,0.6817094818478854,1.4332707991566684,,,0.2554994029485581,unavailable,,0.4901799028981242,insufficient_history,,0.34491187443715426,insufficient_history,,0.06696893492692531,insufficient_history,,0.6502422931750517,insufficient_history
2026-03-03,,,,0.01253858024691358,0.3860302488209467,0.27218364197530864,0.7635030864197531,0.4494598765432099,0.539995970179327,0.05246913580246913,0.6388888888888888,0.004243827160493827,0.018907968358093767,1.0,,,,0.09993569131832797,,,0.028499237577026392,0.21489197530864199,0.21450617283950618,0.6919656635802472,0.6778366052057326,1.4140240934692403,,,0.19928441453393014,unavailable,,0.45275009996815946,insufficient_history,,0.34105059850619585,insufficient_history,,0.06421746444767717,insufficient_history,,0.6426449020806737,insufficient_history
2026-03-04,,,,0.006557377049180328,0.3629441624365482,0.25554484088717455,0.7542912246865959,0.4150433944069431,0.5311871227364185,0.05818064930890389,0.6638379942140791,0.002700096432015429,0.05940212150433944,1.0,,,,0.09991641483958079,,,0.028783835317928646,0.11764705882352941,0.12150433944069432,0.4710125361620047,0.5429628863807323,1.3548908054999464,,,0.18475076974286425,unavailable,,0.44634753770668584,insufficient_history,,0.3540340726454516,insufficient_history,,0.06435012507875472,insufficient_history,,0.5216035252613814,insufficient_history
