scope_id,scope_name,trade_date,membership_definition_effective_from,membership_version,member_count
gold,黄金概念,2026-08-03,2026-08-03,members:8999214c351737bf,80
gold,黄金概念,2026-08-04,2026-08-03,members:8999214c351737bf,80
gold,黄金概念,2026-08-05,2026-08-03,members:8999214c351737bf,80
gold,黄金概念,2026-08-06,2026-08-03,members:8999214c351737bf,80
gold,黄金概念,2026-08-07,2026-08-03,members:8999214c351737bf,80
micro,MicroLED概念,2026-08-03,2026-08-03,members:393283d60377bad8,80
micro,MicroLED概念,2026-08-04,2026-08-03,members:393283d60377bad8,80
micro,MicroLED概念,2026-08-05,2026-08-03,members:393283d60377bad8,80
micro,MicroLED概念,2026-08-06,2026-08-03,members:393283d60377bad8,80
micro,MicroLED概念,2026-08-07,2026-08-03,members:393283d60377bad8,80
lio,锂电池概念,2026-08-03,2026-08-03,members:ac80635c1bf88497,594
lio,锂电池概念,2026-08-04,2026-08-03,members:ac80635c1bf88497,594
lio,锂电池概念,2026-08-05,2026-08-03,members:ac80635c1bf88497,594
lio,锂电池概念,2026-08-06,2026-08-03,members:ac80635c1bf88497,594
lio,锂电池概念,2026-08-07,2026-08-03,members:ac80635c1bf88497,594
fba87331,钢铁-钢铁-特钢,2026-08-03,2026-08-03,members:c340d0713048f114,12
fba87331,钢铁-钢铁-特钢,2026-08-04,2026-08-03,members:c340d0713048f114,12
fba87331,钢铁-钢铁-特钢,2026-08-05,2026-08-03,members:c340d0713048f114,12
fba87331,钢铁-钢铁-特钢,2026-08-06,2026-08-03,members:c340d0713048f114,12
fba87331,钢铁-钢铁-特钢,2026-08-07,2026-08-03,members:c340d0713048f114,12
